id	lang	question	answer	tags			
FAQ::CTF::032	it	CTF su lamiera grecata H75: quali step di posa?	Verifica lamiera e aderenza, centratura connettore nel solco, due chiodi HSBR14 con P560 tarata, controllo visivo finale e pulizia prima del getto. H75. Eseguire prove propulsori all’avvio.	ctf	 posa	 p560	 lamiera
FAQ::CTF::033	it	Qual è la procedura corretta per tarare la P560 su lamiera 2×1.0 mm?	Eseguire prove progressive partendo da cartucce intermedie, controllare assestamento testa chiodo, evitare sovra-penetrazione; validare la taratura su elementi di riserva. Substrato: lamiera 2×1.0 mm. Sostituire chiodi danneggiati.	ctf	 posa	 p560	 lamiera
FAQ::CTF::034	it	CTF su lamiera grecata H75: quali step di posa?	Verifica lamiera e aderenza, centratura connettore nel solco, due chiodi HSBR14 con P560 tarata, controllo visivo finale e pulizia prima del getto. H75. Eseguire prove propulsori all’avvio.	ctf	 posa	 p560	 lamiera
FAQ::CTF::035	it	CTF su lamiera grecata con bugne profonde: quali step di posa?	Verifica lamiera e aderenza, centratura connettore nel solco, due chiodi HSBR14 con P560 tarata, controllo visivo finale e pulizia prima del getto. con bugne profonde. Documentare con foto a campione.	ctf	 posa	 p560	 lamiera
FAQ::CTF::036	it	Qual è la procedura corretta per tarare la P560 su piatto 8 mm?	Eseguire prove progressive partendo da cartucce intermedie, controllare assestamento testa chiodo, evitare sovra-penetrazione; validare la taratura su elementi di riserva. Substrato: piatto 8 mm. Aggiornare il verbale di prova.	ctf	 posa	 p560	 lamiera
FAQ::CTF::037	it	Qual è la procedura corretta per tarare la P560 su piatto 8 mm?	Eseguire prove progressive partendo da cartucce intermedie, controllare assestamento testa chiodo, evitare sovra-penetrazione; validare la taratura su elementi di riserva. Substrato: piatto 8 mm. Ripetere controllo ad ogni cambio cartuccia.	ctf	 posa	 p560	 lamiera
FAQ::CTF::038	it	CTF su lamiera grecata H100: quali step di posa?	Verifica lamiera e aderenza, centratura connettore nel solco, due chiodi HSBR14 con P560 tarata, controllo visivo finale e pulizia prima del getto. H100. Documentare con foto a campione.	ctf	 posa	 p560	 lamiera
FAQ::CTF::039	it	CTF su lamiera grecata con bugne profonde: quali step di posa?	Verifica lamiera e aderenza, centratura connettore nel solco, due chiodi HSBR14 con P560 tarata, controllo visivo finale e pulizia prima del getto. con bugne profonde. Seguire layout e limiti ETA.	ctf	 posa	 p560	 lamiera
FAQ::CTF::040	it	CTF su lamiera grecata H75: quali step di posa?	Verifica lamiera e aderenza, centratura connettore nel solco, due chiodi HSBR14 con P560 tarata, controllo visivo finale e pulizia prima del getto. H75. Usare dime di centratura.	ctf	 posa	 p560	 lamiera
FAQ::CTF::041	it	CTF su lamiera grecata trapezoidale: quali step di posa?	Verifica lamiera e aderenza, centratura connettore nel solco, due chiodi HSBR14 con P560 tarata, controllo visivo finale e pulizia prima del getto. trapezoidale. Usare dime di centratura.	ctf	 posa	 p560	 lamiera
FAQ::CTF::042	it	Qual è la procedura corretta per tarare la P560 su lamiera 1.5 mm?	Eseguire prove progressive partendo da cartucce intermedie, controllare assestamento testa chiodo, evitare sovra-penetrazione; validare la taratura su elementi di riserva. Substrato: lamiera 1.5 mm. Sostituire chiodi danneggiati.	ctf	 posa	 p560	 lamiera
FAQ::CTF::043	it	CTF su lamiera grecata trapezoidale: quali step di posa?	Verifica lamiera e aderenza, centratura connettore nel solco, due chiodi HSBR14 con P560 tarata, controllo visivo finale e pulizia prima del getto. trapezoidale. Eseguire prove propulsori all’avvio.	ctf	 posa	 p560	 lamiera
FAQ::CTF::044	it	CTF su lamiera grecata H100: quali step di posa?	Verifica lamiera e aderenza, centratura connettore nel solco, due chiodi HSBR14 con P560 tarata, controllo visivo finale e pulizia prima del getto. H100. Eseguire prove propulsori all’avvio.	ctf	 posa	 p560	 lamiera
FAQ::CTF::045	it	Qual è la procedura corretta per tarare la P560 su lamiera 2×1.0 mm?	Eseguire prove progressive partendo da cartucce intermedie, controllare assestamento testa chiodo, evitare sovra-penetrazione; validare la taratura su elementi di riserva. Substrato: lamiera 2×1.0 mm. Pulire la sede prima del getto.	ctf	 posa	 p560	 lamiera
FAQ::CTF::046	it	Qual è la procedura corretta per tarare la P560 su lamiera 2×1.0 mm?	Eseguire prove progressive partendo da cartucce intermedie, controllare assestamento testa chiodo, evitare sovra-penetrazione; validare la taratura su elementi di riserva. Substrato: lamiera 2×1.0 mm. Aggiornare il verbale di prova.	ctf	 posa	 p560	 lamiera
FAQ::CTF::047	it	Qual è la procedura corretta per tarare la P560 su lamiera 2×1.0 mm?	Eseguire prove progressive partendo da cartucce intermedie, controllare assestamento testa chiodo, evitare sovra-penetrazione; validare la taratura su elementi di riserva. Substrato: lamiera 2×1.0 mm. Ripetere controllo ad ogni cambio cartuccia.	ctf	 posa	 p560	 lamiera
FAQ::CTF::048	it	CTF su lamiera grecata trapezoidale: quali step di posa?	Verifica lamiera e aderenza, centratura connettore nel solco, due chiodi HSBR14 con P560 tarata, controllo visivo finale e pulizia prima del getto. trapezoidale. Eseguire prove propulsori all’avvio.	ctf	 posa	 p560	 lamiera
FAQ::CTF::049	it	Qual è la procedura corretta per tarare la P560 su lamiera 2×1.0 mm?	Eseguire prove progressive partendo da cartucce intermedie, controllare assestamento testa chiodo, evitare sovra-penetrazione; validare la taratura su elementi di riserva. Substrato: lamiera 2×1.0 mm. Pulire la sede prima del getto.	ctf	 posa	 p560	 lamiera
FAQ::CTF::050	it	CTF su lamiera grecata H60: quali step di posa?	Verifica lamiera e aderenza, centratura connettore nel solco, due chiodi HSBR14 con P560 tarata, controllo visivo finale e pulizia prima del getto. H60. Usare dime di centratura.	ctf	 posa	 p560	 lamiera
FAQ::CTF::051	it	Qual è la procedura corretta per tarare la P560 su lamiera 2×1.0 mm?	Eseguire prove progressive partendo da cartucce intermedie, controllare assestamento testa chiodo, evitare sovra-penetrazione; validare la taratura su elementi di riserva. Substrato: lamiera 2×1.0 mm. Ripetere controllo ad ogni cambio cartuccia.	ctf	 posa	 p560	 lamiera
FAQ::CTF::052	it	Qual è la procedura corretta per tarare la P560 su lamiera 1.5 mm?	Eseguire prove progressive partendo da cartucce intermedie, controllare assestamento testa chiodo, evitare sovra-penetrazione; validare la taratura su elementi di riserva. Substrato: lamiera 1.5 mm. Ripetere controllo ad ogni cambio cartuccia.	ctf	 posa	 p560	 lamiera
FAQ::CTF::053	it	Qual è la procedura corretta per tarare la P560 su lamiera 2×1.0 mm?	Eseguire prove progressive partendo da cartucce intermedie, controllare assestamento testa chiodo, evitare sovra-penetrazione; validare la taratura su elementi di riserva. Substrato: lamiera 2×1.0 mm. Ripetere controllo ad ogni cambio cartuccia.	ctf	 posa	 p560	 lamiera
FAQ::CTF::054	it	Qual è la procedura corretta per tarare la P560 su lamiera 1.5 mm?	Eseguire prove progressive partendo da cartucce intermedie, controllare assestamento testa chiodo, evitare sovra-penetrazione; validare la taratura su elementi di riserva. Substrato: lamiera 1.5 mm. Sostituire chiodi danneggiati.	ctf	 posa	 p560	 lamiera
FAQ::CTF::055	it	CTF su lamiera grecata trapezoidale: quali step di posa?	Verifica lamiera e aderenza, centratura connettore nel solco, due chiodi HSBR14 con P560 tarata, controllo visivo finale e pulizia prima del getto. trapezoidale. Usare dime di centratura.	ctf	 posa	 p560	 lamiera
FAQ::CTF::056	it	CTF su lamiera grecata trapezoidale: quali step di posa?	Verifica lamiera e aderenza, centratura connettore nel solco, due chiodi HSBR14 con P560 tarata, controllo visivo finale e pulizia prima del getto. trapezoidale. Seguire layout e limiti ETA.	ctf	 posa	 p560	 lamiera
FAQ::CTF::057	it	CTF su lamiera grecata H100: quali step di posa?	Verifica lamiera e aderenza, centratura connettore nel solco, due chiodi HSBR14 con P560 tarata, controllo visivo finale e pulizia prima del getto. H100. Seguire layout e limiti ETA.	ctf	 posa	 p560	 lamiera
FAQ::CTF::058	it	CTF su lamiera grecata con bugne profonde: quali step di posa?	Verifica lamiera e aderenza, centratura connettore nel solco, due chiodi HSBR14 con P560 tarata, controllo visivo finale e pulizia prima del getto. con bugne profonde. Seguire layout e limiti ETA.	ctf	 posa	 p560	 lamiera
FAQ::CTF::059	it	CTF su lamiera grecata H60: quali step di posa?	Verifica lamiera e aderenza, centratura connettore nel solco, due chiodi HSBR14 con P560 tarata, controllo visivo finale e pulizia prima del getto. H60. Usare dime di centratura.	ctf	 posa	 p560	 lamiera
FAQ::CTF::060	it	CTF su lamiera grecata H100: quali step di posa?	Verifica lamiera e aderenza, centratura connettore nel solco, due chiodi HSBR14 con P560 tarata, controllo visivo finale e pulizia prima del getto. H100. Usare dime di centratura.	ctf	 posa	 p560	 lamiera
FAQ::CTF::061	it	CTF su lamiera grecata H100: quali step di posa?	Verifica lamiera e aderenza, centratura connettore nel solco, due chiodi HSBR14 con P560 tarata, controllo visivo finale e pulizia prima del getto. H100. Seguire layout e limiti ETA.	ctf	 posa	 p560	 lamiera
FAQ::CTF::062	it	CTF su lamiera grecata trapezoidale: quali step di posa?	Verifica lamiera e aderenza, centratura connettore nel solco, due chiodi HSBR14 con P560 tarata, controllo visivo finale e pulizia prima del getto. trapezoidale. Documentare con foto a campione.	ctf	 posa	 p560	 lamiera
FAQ::CTF::063	it	Qual è la procedura corretta per tarare la P560 su lamiera 2×1.0 mm?	Eseguire prove progressive partendo da cartucce intermedie, controllare assestamento testa chiodo, evitare sovra-penetrazione; validare la taratura su elementi di riserva. Substrato: lamiera 2×1.0 mm. Aggiornare il verbale di prova.	ctf	 posa	 p560	 lamiera
FAQ::CTF::064	it	Qual è la procedura corretta per tarare la P560 su trave S275?	Eseguire prove progressive partendo da cartucce intermedie, controllare assestamento testa chiodo, evitare sovra-penetrazione; validare la taratura su elementi di riserva. Substrato: trave S275. Aggiornare il verbale di prova.	ctf	 posa	 p560	 lamiera
FAQ::CTF::065	it	Qual è la procedura corretta per tarare la P560 su piatto 8 mm?	Eseguire prove progressive partendo da cartucce intermedie, controllare assestamento testa chiodo, evitare sovra-penetrazione; validare la taratura su elementi di riserva. Substrato: piatto 8 mm. Pulire la sede prima del getto.	ctf	 posa	 p560	 lamiera
FAQ::CTF::066	it	Qual è la procedura corretta per tarare la P560 su lamiera 1.5 mm?	Eseguire prove progressive partendo da cartucce intermedie, controllare assestamento testa chiodo, evitare sovra-penetrazione; validare la taratura su elementi di riserva. Substrato: lamiera 1.5 mm. Pulire la sede prima del getto.	ctf	 posa	 p560	 lamiera
FAQ::CTF::067	it	Qual è la procedura corretta per tarare la P560 su piatto 8 mm?	Eseguire prove progressive partendo da cartucce intermedie, controllare assestamento testa chiodo, evitare sovra-penetrazione; validare la taratura su elementi di riserva. Substrato: piatto 8 mm. Pulire la sede prima del getto.	ctf	 posa	 p560	 lamiera
FAQ::CTF::068	it	Qual è la procedura corretta per tarare la P560 su trave S275?	Eseguire prove progressive partendo da cartucce intermedie, controllare assestamento testa chiodo, evitare sovra-penetrazione; validare la taratura su elementi di riserva. Substrato: trave S275. Pulire la sede prima del getto.	ctf	 posa	 p560	 lamiera
FAQ::CTF::069	it	CTF su lamiera grecata H100: quali step di posa?	Verifica lamiera e aderenza, centratura connettore nel solco, due chiodi HSBR14 con P560 tarata, controllo visivo finale e pulizia prima del getto. H100. Documentare con foto a campione.	ctf	 posa	 p560	 lamiera
FAQ::CTF::070	it	CTF su lamiera grecata trapezoidale: quali step di posa?	Verifica lamiera e aderenza, centratura connettore nel solco, due chiodi HSBR14 con P560 tarata, controllo visivo finale e pulizia prima del getto. trapezoidale. Seguire layout e limiti ETA.	ctf	 posa	 p560	 lamiera
FAQ::CTF::071	it	Qual è la procedura corretta per tarare la P560 su piatto 8 mm?	Eseguire prove progressive partendo da cartucce intermedie, controllare assestamento testa chiodo, evitare sovra-penetrazione; validare la taratura su elementi di riserva. Substrato: piatto 8 mm. Sostituire chiodi danneggiati.	ctf	 posa	 p560	 lamiera
FAQ::CTF::072	it	Qual è la procedura corretta per tarare la P560 su piatto 8 mm?	Eseguire prove progressive partendo da cartucce intermedie, controllare assestamento testa chiodo, evitare sovra-penetrazione; validare la taratura su elementi di riserva. Substrato: piatto 8 mm. Sostituire chiodi danneggiati.	ctf	 posa	 p560	 lamiera
FAQ::CTF::073	it	CTF su lamiera grecata con bugne profonde: quali step di posa?	Verifica lamiera e aderenza, centratura connettore nel solco, due chiodi HSBR14 con P560 tarata, controllo visivo finale e pulizia prima del getto. con bugne profonde. Seguire layout e limiti ETA.	ctf	 posa	 p560	 lamiera
FAQ::CTF::074	it	CTF su lamiera grecata H75: quali step di posa?	Verifica lamiera e aderenza, centratura connettore nel solco, due chiodi HSBR14 con P560 tarata, controllo visivo finale e pulizia prima del getto. H75. Eseguire prove propulsori all’avvio.	ctf	 posa	 p560	 lamiera
FAQ::CTF::075	it	Qual è la procedura corretta per tarare la P560 su piatto 8 mm?	Eseguire prove progressive partendo da cartucce intermedie, controllare assestamento testa chiodo, evitare sovra-penetrazione; validare la taratura su elementi di riserva. Substrato: piatto 8 mm. Aggiornare il verbale di prova.	ctf	 posa	 p560	 lamiera
FAQ::CTF::076	it	CTF su lamiera grecata con bugne profonde: quali step di posa?	Verifica lamiera e aderenza, centratura connettore nel solco, due chiodi HSBR14 con P560 tarata, controllo visivo finale e pulizia prima del getto. con bugne profonde. Usare dime di centratura.	ctf	 posa	 p560	 lamiera
FAQ::CTF::077	it	CTF su lamiera grecata H75: quali step di posa?	Verifica lamiera e aderenza, centratura connettore nel solco, due chiodi HSBR14 con P560 tarata, controllo visivo finale e pulizia prima del getto. H75. Seguire layout e limiti ETA.	ctf	 posa	 p560	 lamiera
FAQ::CTF::078	it	Qual è la procedura corretta per tarare la P560 su lamiera 1.5 mm?	Eseguire prove progressive partendo da cartucce intermedie, controllare assestamento testa chiodo, evitare sovra-penetrazione; validare la taratura su elementi di riserva. Substrato: lamiera 1.5 mm. Pulire la sede prima del getto.	ctf	 posa	 p560	 lamiera
FAQ::CTF::079	it	CTF su lamiera grecata trapezoidale: quali step di posa?	Verifica lamiera e aderenza, centratura connettore nel solco, due chiodi HSBR14 con P560 tarata, controllo visivo finale e pulizia prima del getto. trapezoidale. Usare dime di centratura.	ctf	 posa	 p560	 lamiera
FAQ::CTF::080	it	Qual è la procedura corretta per tarare la P560 su trave S275?	Eseguire prove progressive partendo da cartucce intermedie, controllare assestamento testa chiodo, evitare sovra-penetrazione; validare la taratura su elementi di riserva. Substrato: trave S275. Ripetere controllo ad ogni cambio cartuccia.	ctf	 posa	 p560	 lamiera
FAQ::CTF::081	it	Qual è la procedura corretta per tarare la P560 su lamiera 1.5 mm?	Eseguire prove progressive partendo da cartucce intermedie, controllare assestamento testa chiodo, evitare sovra-penetrazione; validare la taratura su elementi di riserva. Substrato: lamiera 1.5 mm. Pulire la sede prima del getto.	ctf	 posa	 p560	 lamiera
FAQ::CTF::082	it	CTF su lamiera grecata H75: quali step di posa?	Verifica lamiera e aderenza, centratura connettore nel solco, due chiodi HSBR14 con P560 tarata, controllo visivo finale e pulizia prima del getto. H75. Documentare con foto a campione.	ctf	 posa	 p560	 lamiera
FAQ::CTF::083	it	CTF su lamiera grecata con bugne profonde: quali step di posa?	Verifica lamiera e aderenza, centratura connettore nel solco, due chiodi HSBR14 con P560 tarata, controllo visivo finale e pulizia prima del getto. con bugne profonde. Usare dime di centratura.	ctf	 posa	 p560	 lamiera
FAQ::CTF::084	it	Qual è la procedura corretta per tarare la P560 su piatto 8 mm?	Eseguire prove progressive partendo da cartucce intermedie, controllare assestamento testa chiodo, evitare sovra-penetrazione; validare la taratura su elementi di riserva. Substrato: piatto 8 mm. Ripetere controllo ad ogni cambio cartuccia.	ctf	 posa	 p560	 lamiera
FAQ::CTF::085	it	CTF su lamiera grecata con bugne profonde: quali step di posa?	Verifica lamiera e aderenza, centratura connettore nel solco, due chiodi HSBR14 con P560 tarata, controllo visivo finale e pulizia prima del getto. con bugne profonde. Documentare con foto a campione.	ctf	 posa	 p560	 lamiera
FAQ::CTF::086	it	Qual è la procedura corretta per tarare la P560 su piatto 8 mm?	Eseguire prove progressive partendo da cartucce intermedie, controllare assestamento testa chiodo, evitare sovra-penetrazione; validare la taratura su elementi di riserva. Substrato: piatto 8 mm. Ripetere controllo ad ogni cambio cartuccia.	ctf	 posa	 p560	 lamiera
FAQ::CTF::087	it	Qual è la procedura corretta per tarare la P560 su lamiera 1.5 mm?	Eseguire prove progressive partendo da cartucce intermedie, controllare assestamento testa chiodo, evitare sovra-penetrazione; validare la taratura su elementi di riserva. Substrato: lamiera 1.5 mm. Pulire la sede prima del getto.	ctf	 posa	 p560	 lamiera
FAQ::CTF::088	it	CTF su lamiera grecata H100: quali step di posa?	Verifica lamiera e aderenza, centratura connettore nel solco, due chiodi HSBR14 con P560 tarata, controllo visivo finale e pulizia prima del getto. H100. Eseguire prove propulsori all’avvio.	ctf	 posa	 p560	 lamiera
FAQ::CTF::089	it	CTF su lamiera grecata H100: quali step di posa?	Verifica lamiera e aderenza, centratura connettore nel solco, due chiodi HSBR14 con P560 tarata, controllo visivo finale e pulizia prima del getto. H100. Seguire layout e limiti ETA.	ctf	 posa	 p560	 lamiera
FAQ::CTF::090	it	Qual è la procedura corretta per tarare la P560 su piatto 8 mm?	Eseguire prove progressive partendo da cartucce intermedie, controllare assestamento testa chiodo, evitare sovra-penetrazione; validare la taratura su elementi di riserva. Substrato: piatto 8 mm. Sostituire chiodi danneggiati.	ctf	 posa	 p560	 lamiera
FAQ::CTF::091	it	CTF su lamiera grecata con bugne profonde: quali step di posa?	Verifica lamiera e aderenza, centratura connettore nel solco, due chiodi HSBR14 con P560 tarata, controllo visivo finale e pulizia prima del getto. con bugne profonde. Documentare con foto a campione.	ctf	 posa	 p560	 lamiera
FAQ::CTF::092	it	Qual è la procedura corretta per tarare la P560 su trave S275?	Eseguire prove progressive partendo da cartucce intermedie, controllare assestamento testa chiodo, evitare sovra-penetrazione; validare la taratura su elementi di riserva. Substrato: trave S275. Ripetere controllo ad ogni cambio cartuccia.	ctf	 posa	 p560	 lamiera
FAQ::CTF::093	it	CTF su lamiera grecata H75: quali step di posa?	Verifica lamiera e aderenza, centratura connettore nel solco, due chiodi HSBR14 con P560 tarata, controllo visivo finale e pulizia prima del getto. H75. Documentare con foto a campione.	ctf	 posa	 p560	 lamiera
FAQ::CTF::094	it	Qual è la procedura corretta per tarare la P560 su lamiera 2×1.0 mm?	Eseguire prove progressive partendo da cartucce intermedie, controllare assestamento testa chiodo, evitare sovra-penetrazione; validare la taratura su elementi di riserva. Substrato: lamiera 2×1.0 mm. Aggiornare il verbale di prova.	ctf	 posa	 p560	 lamiera
FAQ::CTF::095	it	Qual è la procedura corretta per tarare la P560 su trave S275?	Eseguire prove progressive partendo da cartucce intermedie, controllare assestamento testa chiodo, evitare sovra-penetrazione; validare la taratura su elementi di riserva. Substrato: trave S275. Sostituire chiodi danneggiati.	ctf	 posa	 p560	 lamiera
FAQ::CTF::096	it	CTF su lamiera grecata con bugne profonde: quali step di posa?	Verifica lamiera e aderenza, centratura connettore nel solco, due chiodi HSBR14 con P560 tarata, controllo visivo finale e pulizia prima del getto. con bugne profonde. Documentare con foto a campione.	ctf	 posa	 p560	 lamiera
FAQ::CTF::097	it	CTF su lamiera grecata H75: quali step di posa?	Verifica lamiera e aderenza, centratura connettore nel solco, due chiodi HSBR14 con P560 tarata, controllo visivo finale e pulizia prima del getto. H75. Seguire layout e limiti ETA.	ctf	 posa	 p560	 lamiera
FAQ::CTF::098	it	CTF su lamiera grecata H60: quali step di posa?	Verifica lamiera e aderenza, centratura connettore nel solco, due chiodi HSBR14 con P560 tarata, controllo visivo finale e pulizia prima del getto. H60. Usare dime di centratura.	ctf	 posa	 p560	 lamiera
