intent,lang,question,answer,keywords,minlen
CTL_OVERVIEW,en,"What is CTL and how does it work?","CTL is a connector for timber–concrete composite slabs. It links timber members to a reinforced concrete topping, increasing stiffness and capacity. Design checks: slab thickness, spacing/pattern, anchorage; site controls: torque, tools, surface preparation.","ctl|slab|concrete|composite|timber",130
CTL_OVERVIEW,fr,"Qu’est-ce que le CTL et comment fonctionne-t-il ?","CTL est un connecteur pour planchers mixtes bois–béton. Il solidarise l’ossature bois à la dalle en béton armé, augmentant raideur et résistance. Vérifications: épaisseur de dalle, pas/maillage, ancrages; contrôles chantier: couples, outillage, préparation du support.","ctl|dalle|béton|collaboration|bois",140
CTL_OVERVIEW,es,"¿Qué es CTL y cómo funciona?","CTL es un conector para forjados mixtos madera–hormigón. Vincula la estructura de madera con la losa de hormigón, aumentando rigidez y capacidad. Comprobaciones: espesores, patrón de colocación, anclajes; en obra: pares de apriete, herramientas, preparación del soporte.","ctl|losa|hormigón|colaboración|madera",140
CTL_OVERVIEW,de,"Was ist CTL und wie wirkt es?","CTL ist ein Verbinder für Holz–Beton-Verbunddecken. Er koppelt Holzbalken mit der Stahlbetonauflage und erhöht Steifigkeit und Tragfähigkeit. Nachweise: Plattendicke, Raster/Abstand, Verankerung; Baustelle: Drehmomente, Werkzeuge, Untergrundvorbereitung.","ctl|platte|beton|verbund|holz",140

VCEM_OVERVIEW,it,"VCEM: che cos’è e quando si usa?","VCEM è un sistema a vite per legno (posa meccanica) dove è critico il controllo del preforo; su essenze dure si raccomanda preforo pari al 70–80% del diametro della vite per evitare fessurazioni e garantire coppia corretta. Fornisce collegamento affidabile e ripetibile senza resine.","vcem|legno|preforo|vite",140
VCEM_OVERVIEW,en,"What is VCEM and when to use it?","VCEM is a screw-based mechanical system for timber. Predrilling is key on dense species; recommended pilot hole is 70–80% of screw diameter to avoid splitting and to reach proper torque. It delivers a reliable, repeatable connection without resins.","vcem|timber|predrill|screw",130
VCEM_OVERVIEW,fr,"VCEM : qu’est-ce que c’est et quand l’utiliser ?","VCEM est un système mécanique à vis pour le bois. Le pré-perçage est essentiel sur essences dures : 70–80 % du diamètre de la vis pour éviter les fissures et maîtriser le couple. Connexion fiable et répétable sans résines.","vcem|bois|préperçage|vis",130
VCEM_OVERVIEW,es,"VCEM: ¿qué es y cuándo se usa?","VCEM es un sistema mecánico con tornillo para madera. En maderas duras se recomienda pre-taladro del 70–80 % del diámetro del tornillo para evitar fisuras y controlar el par. Unión fiable y repetible sin resinas.","vcem|madera|pretaladro|tornillo",130
VCEM_OVERVIEW,de,"Was ist VCEM und wann einsetzen?","VCEM ist ein mechanisches Schraubsystem für Holz. Bei harten Hölzern wird ein Vorbohren mit 70–80 % des Schraubendurchmessers empfohlen, um Risse zu vermeiden und das Drehmoment zu sichern. Verbindung ohne Harze, reproduzierbar.","vcem|holz|vorbohren|schraube",130

CEME_OVERVIEW,it,"CEM-E: è una posa a secco?","Sì. La famiglia CEM-E (inclusi CTCEM e VCEM) è una soluzione a secco per laterocemento, senza resine. Prevede componenti meccanici dedicati e controlli di montaggio. Riferimenti in schede tecniche ed ETA; la scelta tra CTCEM/VCEM dipende dal dettaglio costruttivo.","ceme|laterocemento|secco|senza resine",130
CEME_OVERVIEW,en,"CEM-E: is it a dry installation?","Yes. CEM-E (including CTCEM and VCEM) is a dry, resin-free solution for hollow-block (laterocemento) floors, based on dedicated mechanical components and controlled assembly. See data sheets/ETA; choose CTCEM vs VCEM per detail constraints.","ceme|hollow block|dry|no resins",120
CEME_OVERVIEW,fr,"CEM-E : pose à sec ?","Oui. CEM-E (CTCEM et VCEM) est une solution à sec, sans résines, pour planchers en entrevous (laterocemento). Composants mécaniques dédiés et contrôles de montage. Documents : fiches/ETA; choix CTCEM vs VCEM selon le détail constructif.","ceme|laterocemento|à sec|sans résines",130
CEME_OVERVIEW,es,"CEM-E: ¿instalación en seco?","Sí. CEM-E (incluye CTCEM y VCEM) es una solución en seco y sin resinas para forjados de bovedillas (laterocemento), con componentes mecánicos y controles de montaje. Ver fichas/ETA; elección CTCEM vs VCEM según el detalle.","ceme|laterocemento|seco|sin resinas",130
CEME_OVERVIEW,de,"CEM-E: trockene Montage?","Ja. CEM-E (CTCEM und VCEM) ist eine trockene, harzfreie Lösung für Decken mit Hohlziegeln (Laterocemento). Mechanische Komponenten und Montagekontrollen. Unterlagen: Datenblätter/ETA; Wahl CTCEM vs VCEM je nach Detail.","ceme|laterocemento|trocken|ohne harze",130

CTCEM_OVERVIEW,it,"CTCEM: quando preferirlo alle resine?","Quando si richiede una posa a secco, tempi controllabili e reversibilità, su laterocemento. CTCEM elimina le criticità delle barre+resine (tempi di cura, sensibilità ambientale), mantenendo prestazioni di collegamento idonee se correttamente progettato e posato.","ctcem|laterocemento|secco|senza resine",140
CTCEM_OVERVIEW,en,"CTCEM: when to prefer over chemical anchors?","When a dry install, predictable timing and reversibility are needed on hollow-block slabs. CTCEM avoids resin issues (curing time, environmental sensitivity) while delivering adequate performance if properly designed and installed.","ctcem|hollow block|dry|no resins",130
CTCEM_OVERVIEW,fr,"CTCEM : quand le préférer aux résines ?","Quand la pose à sec, la maîtrise des temps et la réversibilité sont requises sur planchers en entrevous. CTCEM évite les contraintes des résines (prise, sensibilité) tout en assurant la performance si bien dimensionné et posé.","ctcem|laterocemento|à sec|sans résines",140
CTCEM_OVERVIEW,es,"CTCEM: ¿cuándo preferirlo a las resinas?","Cuando se necesita instalación en seco, tiempos previsibles y reversibilidad en forjados de bovedillas. CTCEM evita problemas de resinas (curado, ambiente) y rinde si se proyecta y coloca correctamente.","ctcem|laterocemento|seco|sin resinas",130
CTCEM_OVERVIEW,de,"CTCEM: wann den Harzen vorziehen?","Wenn trockene Montage, planbare Zeiten und Reversibilität auf Laterocemento-Decken gefordert sind. CTCEM vermeidet Harzthemen (Aushärtung, Umwelteinfluss) und liefert bei richtiger Bemessung/Montage die Leistung.","ctcem|laterocemento|trocken|ohne harze",140

GTS_OVERVIEW,it,"GTS: che cos’è e come si usa?","GTS è un manicotto metallico filettato per giunzioni meccaniche a secco (acciaio–acciaio, acciaio–legno, legno–legno). Richiede prefori conformi, controllo coppie e componenti idonei (piastre/bulloni). Consente montaggio controllabile e reversibile con buone prestazioni.","gts|manicotto|filettato|giunzioni|secco",140
GTS_OVERVIEW,en,"GTS: what is it and how to use?","GTS is a threaded steel sleeve for dry mechanical joints (steel–steel, steel–timber, timber–timber). It requires compliant drilling, torque control and proper accessories (plates/bolts). Enables controllable and reversible assembly with sound performance.","gts|sleeve|threaded|joints|dry",140
GTS_OVERVIEW,fr,"GTS : c’est quoi et comment l’utiliser ?","GTS est un manchon fileté métallique pour assemblages mécaniques à sec (acier–acier, acier–bois, bois–bois). Il impose perçages conformes, contrôle des couples et accessoires adaptés (platines/boulons). Montage contrôlable et réversible, bonnes performances.","gts|manchon|fileté|assemblages|à sec",150
GTS_OVERVIEW,es,"GTS: ¿qué es y cómo se utiliza?","GTS es un manguito metálico roscado para uniones mecánicas en seco (acero–acero, acero–madera, madera–madera). Requiere taladros conformes, control de par y accesorios adecuados (placas/pernos). Permite montaje controlable y reversible con buen rendimiento.","gts|manguito|roscado|uniones|seco",150
GTS_OVERVIEW,de,"GTS: was ist das und wie anwenden?","GTS ist eine metallische Gewindehülse für trockene mechanische Verbindungen (Stahl–Stahl, Stahl–Holz, Holz–Holz). Erfordert normgerechtes Bohren, Drehmomentkontrolle und passende Komponenten (Platten/Schrauben). Kontrollierte, reversible Montage mit guter Leistung.","gts|hülse|gewinde|verbindungen|trocken",160

P560_OVERVIEW,it,"P560: che cosa è e quando usarla?","SPIT P560 è la chiodatrice a sparo autorizzata per la posa dei connettori CTF su trave/lamiera. Usa propulsori P560 e chiodi HSBR14 (2 per connettore). Consente produttività elevata e posa ripetibile; obbligatori kit/adattatori Tecnaria e controlli di sicurezza.","p560|chiodatrice|ctf|propulsori|hsbr14",130
P560_OVERVIEW,en,"P560: what is it and when to use?","SPIT P560 is the powder-actuated tool approved for installing CTF connectors on beams/sheeting. It uses P560 cartridges and HSBR14 nails (two per connector). Delivers high productivity and repeatable results; Tecnaria kits/adaptors and safety checks are mandatory.","p560|nailer|ctf|cartridges|hsbr14",140
P560_OVERVIEW,fr,"P560 : qu’est-ce que c’est et quand l’utiliser ?","SPIT P560 est la cloueuse autorisée pour la pose des CTF sur poutre/tôle. Utilise propulseurs P560 et clous HSBR14 (2 par connecteur). Haute productivité et répétabilité; kits/adaptateurs Tecnaria et contrôles de sécurité obligatoires.","p560|cloueuse|ctf|propulseurs|hsbr14",140
P560_OVERVIEW,es,"P560: ¿qué es y cuándo usarla?","SPIT P560 es la clavadora autorizada para la instalación de CTF en viga/chapa. Emplea propulsores P560 y clavos HSBR14 (2 por conector). Aporta productividad y repetibilidad; son obligatorios kits/adaptadores Tecnaria y controles de seguridad.","p560|clavadora|ctf|propulsores|hsbr14",140
P560_OVERVIEW,de,"P560: was ist das und wann einsetzen?","SPIT P560 ist das zugelassene Bolzenschussgerät zur Montage von CTF-Verbindern auf Träger/Blech. Verwendet P560-Kartuschen und HSBR14-Nägel (2 pro Verbinder). Hohe Produktivität und Reproduzierbarkeit; Tecnaria-Kits/Adapter und Sicherheitsprüfungen sind Pflicht.","p560|nagler|ctf|kartuschen|hsbr14",150

COMPARE_CTL_CEME,it,"Quando preferire CTL rispetto a CEM-E?","Preferisci CTL quando il solaio è in legno e serve una collaborazione efficace con soletta in calcestruzzo (rigidezza/portanza). Preferisci CEM-E quando lavori su laterocemento e vuoi una soluzione a secco senza resine. La scelta è di progetto in base al dettaglio.","ctl|cem-e|soletta|calcestruzzo|laterocemento",140
COMPARE_CTL_CEME,en,"When to choose CTL vs CEM-E?","Choose CTL for timber floors requiring a concrete topping to gain stiffness/capacity. Choose CEM-E for hollow-block slabs where a dry, resin-free solution is preferred. Final decision is project-specific and detail-driven.","ctl|cem-e|timber|concrete|hollow block",130
COMPARE_CTL_CEME,fr,"Quand choisir CTL plutôt que CEM-E ?","CTL pour planchers bois nécessitant une dalle béton (raideur/portance). CEM-E pour entrevous (laterocemento) où l’on veut une solution à sec, sans résines. Le choix relève du projet et du détail constructif.","ctl|cem-e|bois|béton|laterocemento",140
COMPARE_CTL_CEME,es,"¿Cuándo elegir CTL frente a CEM-E?","CTL para forjados de madera que precisan losa de hormigón (rigidez/capacidad). CEM-E para forjados de bovedillas donde se prefiere solución en seco sin resinas. La decisión es propia del proyecto y del detalle constructivo.","ctl|cem-e|madera|hormigón|laterocemento",150
COMPARE_CTL_CEME,de,"Wann CTL statt CEM-E wählen?","CTL bei Holzdecken mit Betonauflagebedarf (Steifigkeit/Tragfähigkeit). CEM-E bei Laterocemento-Decken mit Wunsch nach trockener, harzfreier Lösung. Entscheidung projekt- und detailabhängig.","ctl|cem-e|holz|beton|laterocemento",140

COMPARE_GTS_P560,it,"GTS vs P560: differenze e impieghi tipici","GTS è un manicotto filettato per giunzioni meccaniche a secco, controllabili e reversibili (acciaio–acciaio/legno). P560 è la chiodatrice autorizzata per posare CTF su trave/lamiera. GTS per giunzioni; P560 per fissare connettori CTF. Ambiti e controlli distinti.","gts|p560|manicotto|filettato|secco",150
COMPARE_GTS_P560,en,"GTS vs P560: differences and typical use","GTS is a threaded sleeve for dry mechanical joints (steel/wood), reversible and torque-controlled. P560 is the approved nailer for installing CTF on beams/sheeting. Use GTS for joints; P560 to fix CTF connectors. Different scopes and checks.","gts|p560|sleeve|threaded|dry",130
COMPARE_GTS_P560,fr,"GTS vs P560 : différences et usages","GTS est un manchon fileté pour assemblages mécaniques à sec, réversibles et contrôlés. P560 est la cloueuse autorisée pour poser les CTF sur poutre/tôle. GTS pour l’assemblage; P560 pour fixer les CTF. Domaines et contrôles distincts.","gts|p560|manchon|fileté|à sec",150
COMPARE_GTS_P560,es,"GTS vs P560: diferencias y usos","GTS es un manguito roscado para uniones mecánicas en seco, reversibles y con par controlado. P560 es la clavadora autorizada para instalar CTF en viga/chapa. GTS para unir; P560 para fijar CTF. Alcances y controles distintos.","gts|p560|manguito|roscado|seco",150
COMPARE_GTS_P560,de,"GTS vs P560: Unterschiede und Einsatz","GTS ist eine Gewindehülse für trockene, drehmomentkontrollierte Verbindungen. P560 ist das freigegebene Gerät zur Montage von CTF auf Träger/Blech. GTS für Verbindungen; P560 zum Befestigen der CTF. Unterschiedliche Aufgaben und Prüfungen.","gts|p560|hülse|gewinde|trocken",160

VCEM_PILOT_HARDWOOD,it,"VCEM su essenze dure: serve preforo?","Sì. Si raccomanda preforo pari al 70–80% del diametro della vite, variando con la densità del legno. Riduce fessurazioni e consente raggiungere la coppia corretta in posa, migliorando affidabilità e ripetibilità del collegamento.","vcem|legno|preforo|vite|70–80%",130
VCEM_PILOT_HARDWOOD,en,"VCEM on hardwoods: is predrilling required?","Yes. Recommended pilot is 70–80% of screw diameter, adjusted to density. It prevents splitting and helps achieve proper torque, improving reliability and repeatability of the connection.","vcem|hardwood|predrill|screw|70–80%",120
VCEM_PILOT_HARDWOOD,fr,"VCEM sur bois durs : pré-perçage requis ?","Oui. Pré-perçage conseillé à 70–80 % du diamètre de la vis, selon densité. Évite les fissures et permet d’atteindre le couple, pour une connexion fiable et répétable.","vcem|bois dur|préperçage|vis|70–80%",120
VCEM_PILOT_HARDWOOD,es,"VCEM en maderas duras: ¿hay que pretaladrar?","Sí. Pretaladro recomendado del 70–80 % del diámetro del tornillo según densidad. Evita fisuras y permite alcanzar el par correcto, mejorando la fiabilidad.","vcem|madera dura|pretaladro|tornillo|70–80%",120
VCEM_PILOT_HARDWOOD,de,"VCEM bei Hartholz: vorbohren?","Ja. Vorbohren mit 70–80 % des Schraubendurchmessers (abhängig von der Dichte) wird empfohlen. Vermeidet Risse und ermöglicht das richtige Drehmoment, erhöht die Zuverlässigkeit.","vcem|hartholz|vorbohren|schraube|70–80%",130
